area_id,stop_id
area_AIR,90401
area_AIR,90402
area_AIR,90403
area_AIR,90404
area_AIR,90405
area_CHE,90009
area_CHE,90712
area_CHE,90713
area_CHE,90714
area_CHE,90715
area_CHE,90716
area_CHE,90717
area_CHE,90718
area_CHE,90719
area_CHE,90720
area_CHW,90801
area_CHW,90802
area_CHW,90803
area_CHW,90804
area_CHW,90805
area_CHW,90806
area_CHW,90807
area_CHW,90808
area_CHW,90809
area_CHW,90810
area_CYN,90001
area_CYN,90002
area_CYN,90003
area_FOX,90009
area_FOX,90811
area_FOX,90812
area_FOX,90813
area_FOX,90814
area_FOX,90815
area_LAN,90008
area_LAN,90009
area_LAN,90407
area_LAN,90410
area_LAN,90411
area_LAN,90523
area_LAN,90524
area_LAN,90525
area_LAN,90526
area_LAN,90527
area_LAN,90528
area_LAN,90529
area_LAN,90530
area_LAN,90531
area_LAN,90539
area_LAN,90532
area_LAN,90533
area_LAN,90534
area_LAN,90535
area_LAN,90536
area_LAN,90537
area_LAN,90538
area_MED,90300
area_MED,90301
area_MED,90302
area_MED,90303
area_MED,90304
area_MED,90305
area_MED,90306
area_MED,90307
area_MED,90308
area_MED,90309
area_MED,90310
area_MED,90311
area_MED,90312
area_MED,90313
area_MED,90314
area_NOR,90008
area_NOR,90218
area_NOR,90219
area_NOR,90220
area_NOR,90221
area_NOR,90222
area_NOR,90223
area_NOR,90224
area_NOR,90225
area_NOR,90226
area_NOR,90227
area_NOR,90228
area_PAO,90501
area_PAO,90502
area_PAO,90503
area_PAO,90504
area_PAO,90505
area_PAO,90506
area_PAO,90507
area_PAO,90508
area_PAO,90509
area_PAO,90510
area_PAO,90511
area_PAO,90512
area_PAO,90513
area_PAO,90514
area_PAO,90515
area_PAO,90516
area_PAO,90517
area_PAO,90518
area_PAO,90519
area_PAO,90520
area_PAO,90521
area_PAO,90522
area_TRE,90701
area_TRE,90702
area_TRE,90703
area_TRE,90704
area_TRE,90705
area_TRE,90706
area_TRE,90707
area_TRE,90708
area_TRE,90709
area_TRE,90710
area_TRE,90711
area_WAR,90009
area_WAR,90407
area_WAR,90408
area_WAR,90409
area_WAR,90410
area_WAR,90411
area_WAR,90412
area_WAR,90413
area_WAR,90414
area_WAR,90415
area_WAR,90416
area_WAR,90417
area_WIL,90201
area_WIL,90202
area_WIL,90203
area_WIL,90204
area_WIL,90205
area_WIL,90206
area_WIL,90207
area_WIL,90208
area_WIL,90209
area_WIL,90210
area_WIL,90211
area_WIL,90212
area_WIL,90213
area_WIL,90214
area_WIL,90215
area_WIL,90216
area_WIL,90217
area_WTR,90407
area_WTR,90408
area_WTR,90409
area_WTR,90410
area_WTR,90315
area_WTR,90316
area_WTR,90317
area_WTR,90318
area_WTR,90319
area_WTR,90320
area_WTR,90321
area_WTR,90322
area_WTR,90323
area_WTR,90324
area_WTR,90325
area_WTR,90326
area_WTR,90327
area_CC,90004
area_CC,90005
area_CC,90006
area_CC,90007
area_CC,90406
area_airport_terminals,90404
area_airport_terminals,90403
area_airport_terminals,90402
area_airport_terminals,90401
area_Z1,90003
area_Z1,90008
area_Z1,90009
area_Z1,90218
area_Z1,90219
area_Z1,90220
area_Z1,90313
area_Z1,90314
area_Z1,90405
area_Z1,90407
area_Z1,90522
area_Z1,90711
area_Z1,90712
area_Z1,90713
area_Z1,90807
area_Z1,90808
area_Z1,90809
area_Z1,90810
area_Z1,90811
area_Z2,90001
area_Z2,90002
area_Z2,90211
area_Z2,90212
area_Z2,90213
area_Z2,90214
area_Z2,90215
area_Z2,90216
area_Z2,90217
area_Z2,90221
area_Z2,90222
area_Z2,90223
area_Z2,90306
area_Z2,90307
area_Z2,90308
area_Z2,90309
area_Z2,90310
area_Z2,90311
area_Z2,90312
area_Z2,90408
area_Z2,90409
area_Z2,90517
area_Z2,90518
area_Z2,90519
area_Z2,90520
area_Z2,90521
area_Z2,90708
area_Z2,90709
area_Z2,90710
area_Z2,90714
area_Z2,90715
area_Z2,90716
area_Z2,90717
area_Z2,90718
area_Z2,90719
area_Z2,90720
area_Z2,90801
area_Z2,90802
area_Z2,90803
area_Z2,90804
area_Z2,90805
area_Z2,90806
area_Z2,90812
area_Z2,90813
area_Z2,90814
area_Z2,90815
area_Z3,90205
area_Z3,90206
area_Z3,90207
area_Z3,90208
area_Z3,90209
area_Z3,90210
area_Z3,90224
area_Z3,90225
area_Z3,90226
area_Z3,90227
area_Z3,90228
area_Z3,90300
area_Z3,90301
area_Z3,90302
area_Z3,90303
area_Z3,90304
area_Z3,90305
area_Z3,90315
area_Z3,90316
area_Z3,90317
area_Z3,90318
area_Z3,90319
area_Z3,90320
area_Z3,90321
area_Z3,90322
area_Z3,90323
