route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_short_name
CYN,SID189324,CYN1052_20260622_SID189324,Suburban Station,0,1052,001005,2,1,CYN1052
CYN,SID189324,CYN1055_20260622_SID189324,Cynwyd,1,1055,005001,2,1,CYN1055
CYN,SID189324,CYN1056_20260622_SID189324,Suburban Station,0,1056,001005,2,1,CYN1056
CYN,SID189324,CYN1059_20260622_SID189324,Cynwyd,1,1059,005001,2,1,CYN1059
CYN,SID189324,CYN1060_20260622_SID189324,Suburban Station,0,1060,001005,2,1,CYN1060
CYN,SID189324,CYN1071_20260622_SID189324,Cynwyd,1,1071,005001,0,1,CYN1071
CYN,SID189324,CYN1072_20260622_SID189324,Suburban Station,0,1072,001005,0,1,CYN1072
CYN,SID189324,CYN1081_20260622_SID189324,Cynwyd,1,1081,005001,0,1,CYN1081
CYN,SID189324,CYN1082_20260622_SID189324,Suburban Station,0,1082,001005,2,1,CYN1082
CYN,SID189324,CYN1083_20260622_SID189324,Cynwyd,1,1083,005001,2,1,CYN1083
CYN,SID189324,CYN1084_20260622_SID189324,Suburban Station,0,1084,001005,2,1,CYN1084
CYN,SID189324,CYN1085_20260622_SID189324,Cynwyd,1,1085,005001,2,1,CYN1085
TRE,SID189324,TRE1705_20260622_SID189324,Trenton,1,1705,007701,2,1,TRE1705
TRE,SID189327,TRE1706_20260621_SID189327,Jefferson Station,0,1706,701007,0,1,TRE1706
TRE,SID189327,TRE1707_20260621_SID189327,Trenton,1,1707,007701,0,1,TRE1707
TRE,SID189327,TRE1708_20260621_SID189327,Jefferson Station,0,1708,701007,0,1,TRE1708
TRE,SID189327,TRE1709_20260621_SID189327,Trenton,1,1709,007701,0,1,TRE1709
TRE,SID189327,TRE1710_20260621_SID189327,Jefferson Station,0,1710,701007,0,1,TRE1710
TRE,SID189327,TRE1711_20260621_SID189327,Trenton,1,1711,007701,0,1,TRE1711
TRE,SID189327,TRE1712_20260621_SID189327,Jefferson Station,0,1712,701007,0,1,TRE1712
TRE,SID189327,TRE1713_20260621_SID189327,Trenton,1,1713,007701,0,1,TRE1713
TRE,SID189327,TRE1714_20260621_SID189327,Jefferson Station,0,1714,701007,0,1,TRE1714
TRE,SID189327,TRE1715_20260621_SID189327,Trenton,1,1715,007701,0,1,TRE1715
TRE,SID189327,TRE1716_20260621_SID189327,Jefferson Station,0,1716,701007,0,1,TRE1716
TRE,SID189327,TRE1717_20260621_SID189327,Trenton,1,1717,007701,0,1,TRE1717
TRE,SID189327,TRE1718_20260621_SID189327,Jefferson Station,0,1718,701007,0,1,TRE1718
TRE,SID189327,TRE1719_20260621_SID189327,Trenton,1,1719,007701,0,1,TRE1719
TRE,SID189327,TRE1720_20260621_SID189327,Jefferson Station,0,1720,701007,0,1,TRE1720
TRE,SID189327,TRE1721_20260621_SID189327,Trenton,1,1721,007701,0,1,TRE1721
TRE,SID189327,TRE1722_20260621_SID189327,Jefferson Station,0,1722,701007,0,1,TRE1722
TRE,SID189327,TRE1723_20260621_SID189327,Trenton,1,1723,007701,0,1,TRE1723
TRE,SID189327,TRE1724_20260621_SID189327,Jefferson Station,0,1724,701007,0,1,TRE1724
TRE,SID189327,TRE1725_20260621_SID189327,Trenton,1,1725,007701,0,1,TRE1725
TRE,SID189327,TRE1726_20260621_SID189327,Jefferson Station,0,1726,701007,0,1,TRE1726
TRE,SID189327,TRE1727_20260621_SID189327,Trenton,1,1727,007701,0,1,TRE1727
TRE,SID189327,TRE1728_20260621_SID189327,Jefferson Station,0,1728,701007,0,1,TRE1728
TRE,SID189327,TRE1729_20260621_SID189327,Trenton,1,1729,007701,0,1,TRE1729
TRE,SID189327,TRE1730_20260621_SID189327,Jefferson Station,0,1730,701007,0,1,TRE1730
TRE,SID189327,TRE1731_20260621_SID189327,Trenton,1,1731,007701,0,1,TRE1731
TRE,SID189327,TRE1732_20260621_SID189327,Jefferson Station,0,1732,701007,0,1,TRE1732
TRE,SID189327,TRE1733_20260621_SID189327,Trenton,1,1733,007701,0,1,TRE1733
TRE,SID189327,TRE1734_20260621_SID189327,Jefferson Station,0,1734,701007,0,1,TRE1734
TRE,SID189327,TRE1735_20260621_SID189327,Trenton,1,1735,007701,0,1,TRE1735
NOR,SID189815,NOR207_20260622_SID189815,Center City Philadelphia,1,207,228004,2,1,NOR207
WIL,SID189815,WIL207_20260622_SID189815,Marcus Hook,1,207,007201,2,1,WIL207
NOR,SID189413,NOR207_20260817_SID189413,Center City Philadelphia,1,207,228004,2,1,NOR207
WIL,SID189413,WIL207_20260817_SID189413,Marcus Hook,1,207,007201,2,1,WIL207
NOR,SID189815,NOR209_20260622_SID189815,Center City Philadelphia,1,209,228004,2,1,NOR209
WIL,SID189815,WIL209_20260622_SID189815,Wilmington,1,209,007201,2,1,WIL209
NOR,SID189413,NOR209_20260817_SID189413,Center City Philadelphia,1,209,228004,2,1,NOR209
WIL,SID189413,WIL209_20260817_SID189413,Wilmington,1,209,007201,2,1,WIL209
NOR,SID189815,NOR213_20260622_SID189815,Center City Philadelphia,1,213,228004,2,1,NOR213
WIL,SID189815,WIL213_20260622_SID189815,Wilmington,1,213,007201,2,1,WIL213
NOR,SID189413,NOR213_20260817_SID189413,Center City Philadelphia,1,213,228004,2,1,NOR213
WIL,SID189413,WIL213_20260817_SID189413,Wilmington,1,213,007201,2,1,WIL213
NOR,SID189324,NOR219_20260622_SID189324,Center City Philadelphia,1,219,228004,2,1,NOR219
WIL,SID189324,WIL219_20260622_SID189324,Marcus Hook,1,219,007201,0,1,WIL219
NOR,SID189815,NOR221_20260622_SID189815,Center City Philadelphia,1,221,228004,0,1,NOR221
WIL,SID189815,WIL221_20260622_SID189815,Newark DE,1,221,007201,0,1,WIL221
NOR,SID189413,NOR221_20260817_SID189413,Center City Philadelphia,1,221,228004,0,1,NOR221
WIL,SID189413,WIL221_20260817_SID189413,Newark DE,1,221,007201,0,1,WIL221
NOR,SID189815,NOR2385_20260622_SID189815,Penn Medicine Station,1,2385,228004,0,1,NOR2385
NOR,SID189413,NOR2385_20260817_SID189413,Penn Medicine Station,1,2385,228004,0,1,NOR2385
NOR,SID189815,NOR2387_20260622_SID189815,Penn Medicine Station,1,2387,228004,2,1,NOR2387
